universal R2,median global R2,median local R2
0.7362731036028469,0.7360651892834681,0.6999850251320865
0.7330228361969569,0.7795487199140321,0.7600743772806882
0.7343019823699366,0.7434904991388442,0.7240795560633239
0.7453469047727801,0.7451573106742138,0.7450304730319877
0.7455596306409987,0.7645924902674737,0.7387337158498082
0.7329002922796861,0.7672256138111366,0.700437655201289
0.7231917537578123,0.7382623773904862,0.7100451317293606
0.7299478856633076,0.7606506132322484,0.7184925401905812
0.7346766419910713,0.7303250323209729,0.7252804723895727
0.7210543716666318,0.7161743373399865,0.7309805273108889
